date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:12:20	114/114	---MC-	200	added ('OK')	text/plain	date:Mon,%2021%20Oct%202024%2012:12:19%20GMT	https://babychimp.fun/robots.txt		(from )
07:12:20	68176/68176	---M-Z	200	added ('OK')	text/html	date:Mon,%2021%20Oct%202024%2012:12:19%20GMT	https://babychimp.fun/	C:/MYWEB/https___babychimp.fun_/babychimp.fun/index.html	(from )
07:12:23	212120/212120	---M--	200	added ('OK')	text/css	etag:%2233c98-623274875a6fe%22	https://babychimp.fun/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.23.4	C:/MYWEB/https___babychimp.fun_/babychimp.fun/wp-content/plugins/elementor/assets/css/frontend-lite.mind5d5.css	(from https://babychimp.fun/)
07:12:23	1663/1663	---MC-	200	added ('OK')	application/rss+xml	etag:%228f6812cf1a3099f5adaea2a36b17ec8d%22	https://babychimp.fun/index.php/comments/feed/	C:/MYWEB/https___babychimp.fun_/babychimp.fun/index.php/comments/feed/index.html	(from https://babychimp.fun/)
07:12:23	1918/1918	---MC-	200	added ('OK')	application/rss+xml	etag:%228f6812cf1a3099f5adaea2a36b17ec8d%22	https://babychimp.fun/index.php/feed/	C:/MYWEB/https___babychimp.fun_/babychimp.fun/index.php/feed/index.html	(from https://babychimp.fun/)
07:12:23	16471/16471	---M--	200	added ('OK')	text/css	etag:%224057-62327487c7153%22	https://babychimp.fun/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	C:/MYWEB/https___babychimp.fun_/babychimp.fun/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://babychimp.fun/)
07:12:24	1168/1168	---M--	200	added ('OK')	text/css	etag:%22490-6232973d969a6%22	https://babychimp.fun/wp-content/uploads/elementor/css/post-7.css?ver=1727510804	C:/MYWEB/https___babychimp.fun_/babychimp.fun/wp-content/uploads/elementor/css/post-73aa7.css	(from https://babychimp.fun/)
07:12:26	11120/11120	---M--	200	added ('OK')	text/css	etag:%222b70-6232759021f6b%22	https://babychimp.fun/wp-content/plugins/elementor-pro/assets/css/frontend-lite.min.css?ver=3.23.3	C:/MYWEB/https___babychimp.fun_/babychimp.fun/wp-content/plugins/elementor-pro/assets/css/frontend-lite.min28fc.css	(from https://babychimp.fun/)
07:12:27	40406/40406	---M--	200	added ('OK')	text/css	etag:%229dd6-6232973e8ded0%22	https://babychimp.fun/wp-content/uploads/elementor/css/global.css?ver=1727510805	C:/MYWEB/https___babychimp.fun_/babychimp.fun/wp-content/uploads/elementor/css/global387f.css	(from https://babychimp.fun/)
07:12:28	28253/28253	---M--	200	added ('OK')	text/css	etag:%226e5d-6234dc29daa3d%22	https://babychimp.fun/wp-content/uploads/elementor/css/post-8.css?ver=1727666744	C:/MYWEB/https___babychimp.fun_/babychimp.fun/wp-content/uploads/elementor/css/post-8bcbd.css	(from https://babychimp.fun/)
